President of the United States,,,,,,,,,,,,,,,,,
,,Donald J. Trump (I) (Rep),,,,,Joseph R. Biden (Dem),,,,,Jo Jorgensen (Lib),,,,,
County,Registered Voters,Election Day Votes,Advanced Voting Votes,Absentee by Mail Votes,Provisional Votes,Total Votes,Election Day Votes,Advanced Voting Votes,Absentee by Mail Votes,Provisional Votes,Total Votes,Election Day Votes,Advanced Voting Votes,Absentee by Mail Votes,Provisional Votes,Total Votes,Total
01A,0,41,143,56,2,242,160,1638,737,11,2546,3,10,10,1,24,2812
01B,0,79,158,62,1,300,242,1824,895,2,2963,11,16,15,0,42,3305
01C,0,21,20,8,0,49,180,369,165,0,714,4,6,3,0,13,776
01D,0,7,13,13,1,34,24,281,123,3,431,0,2,1,0,3,468
01E,0,40,166,79,0,285,101,1540,775,0,2416,7,19,11,0,37,2738
01F,0,14,12,6,0,32,110,251,108,4,473,2,4,0,0,6,511
01G,0,15,54,15,0,84,131,717,295,0,1143,2,12,3,0,17,1244
01H,0,6,7,3,0,16,64,205,122,1,392,1,0,3,0,4,412
01I,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
01J,0,17,42,12,0,71,217,717,333,5,1272,3,9,6,0,18,1361
01P,0,16,7,4,0,27,208,217,171,0,596,3,2,2,0,7,630
01R,0,20,8,5,0,33,202,136,117,5,460,4,2,6,0,12,505
01S,0,20,23,12,0,55,228,484,207,3,922,5,3,2,0,10,987
01T,0,27,26,13,0,66,156,460,180,0,796,6,2,3,0,11,873
02A,0,83,409,170,0,662,137,1713,1087,10,2947,11,25,18,0,54,3663
02A1,0,13,67,6,1,87,25,269,56,1,351,3,4,1,0,8,446
02B,0,8,95,30,2,135,20,753,290,13,1076,3,9,4,2,18,1229
02C,0,23,73,31,5,132,75,676,382,17,1150,2,3,6,0,11,1293
02D,0,92,280,97,0,469,224,1861,1071,2,3158,11,19,11,1,42,3669
02E,0,35,71,34,0,140,94,888,477,0,1459,6,6,4,0,16,1615
02F1,0,39,163,74,2,278,94,1251,741,3,2089,7,19,10,1,37,2404
02F2,0,17,33,11,2,63,41,248,135,0,424,3,2,2,0,7,494
02G,0,82,192,74,0,348,163,1586,745,4,2498,7,20,15,0,42,2888
02J,0,33,81,46,2,162,86,876,428,11,1401,5,16,12,0,33,1596
02K,0,25,89,18,0,132,43,580,298,0,921,3,3,8,0,14,1067
02L1,0,98,372,190,3,663,167,1973,1273,7,3420,11,27,22,0,60,4143
02L1A,0,24,78,9,3,114,72,542,96,4,714,2,4,1,0,7,835
02L2,0,44,140,36,1,221,105,825,375,4,1309,0,5,5,0,10,1540
02S,0,14,17,12,0,43,37,277,132,0,446,3,3,3,0,9,498
02W,0,22,61,21,0,104,48,372,122,0,542,0,2,5,0,7,653
03A,0,10,20,8,1,39,146,379,227,16,768,2,2,2,1,7,814
03B,0,4,6,6,0,16,52,100,60,0,212,3,0,0,0,3,231
03C,0,8,9,9,1,27,147,342,230,5,724,2,6,3,0,11,762
03D,0,0,10,9,0,19,0,217,105,16,338,0,0,0,0,0,357
03E,0,33,22,9,1,65,282,466,219,19,986,4,5,4,2,15,1066
03F,0,44,154,42,0,240,113,773,358,0,1244,1,5,2,0,8,1492
03G,0,6,6,2,0,14,77,138,43,3,261,2,1,0,0,3,278
03H,0,14,15,4,0,33,77,212,97,0,386,1,0,1,0,2,421
03I,0,25,44,13,5,87,95,330,115,11,551,4,6,5,0,15,653
03L,0,10,3,3,0,16,66,96,42,0,204,1,1,0,0,2,222
03M,0,50,33,5,0,88,135,231,86,2,454,4,4,2,0,10,552
03N,0,16,24,6,0,46,228,449,160,16,853,6,5,3,1,15,914
03P1A,0,79,170,62,0,311,224,1331,533,9,2097,10,21,9,0,40,2448
03P2,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,7
03S,0,11,4,5,0,20,94,208,104,0,406,0,0,0,0,0,426
03T,0,14,24,6,0,44,142,490,132,6,770,4,5,2,0,11,825
04A,0,0,11,5,0,16,0,311,163,0,474,0,4,2,0,6,496
04B,0,9,16,7,0,32,117,412,222,0,751,3,3,1,0,7,790
04C,0,1,0,0,0,1,10,27,12,1,50,0,0,0,0,0,51
04D,0,11,17,4,0,32,153,443,202,3,801,4,7,1,0,12,845
04F,0,31,67,13,0,111,175,741,205,3,1124,5,7,3,0,15,1250
04G,0,8,5,5,0,18,113,192,79,0,384,2,1,1,0,4,406
04I,0,13,32,22,1,68,74,446,234,2,756,2,4,3,0,9,833
04J,0,5,2,2,0,9,43,109,19,4,175,0,1,2,0,3,187
04K,0,22,26,16,0,64,184,706,359,6,1255,3,4,3,0,10,1329
04L,0,23,22,15,0,60,154,557,201,3,915,5,1,0,0,6,981
04M,0,4,6,5,0,15,101,153,68,0,322,1,2,0,0,3,340
04S,0,20,16,10,1,47,254,617,310,2,1183,4,6,3,0,13,1243
04T,0,11,21,5,3,40,128,328,161,18,635,2,2,2,1,7,682
04V,0,37,21,10,1,69,349,690,237,2,1278,5,7,2,0,14,1361
04W,0,0,0,1,1,2,57,133,28,6,224,1,0,0,0,1,227
04X1,0,20,29,11,0,60,153,601,273,2,1029,3,1,1,0,5,1094
04X2,0,9,19,2,0,30,53,224,100,0,377,1,6,3,0,10,417
05A1,0,46,122,38,0,206,104,1219,628,0,1951,9,14,8,0,31,2188
05A2,0,37,131,44,2,214,127,1400,627,3,2157,4,17,4,0,25,2396
05B,0,24,27,16,0,67,163,604,269,0,1036,3,5,0,0,8,1111
05C,0,1,3,1,0,5,4,26,8,0,38,1,0,0,0,1,44
05D,0,0,2,0,0,2,2,55,8,0,65,0,0,1,0,1,68
05F,0,5,7,0,0,12,20,83,25,0,128,0,0,0,0,0,140
05J,0,9,25,12,0,46,33,258,126,0,417,2,6,3,0,11,474
05K,0,25,67,24,0,116,135,686,265,0,1086,2,14,6,0,22,1224
06B,0,51,129,42,2,224,65,754,404,2,1225,1,10,3,1,15,1464
06D,0,109,470,314,1,894,273,2052,2048,5,4378,11,21,28,0,60,5332
06D1,0,52,201,43,1,297,55,949,166,1,1171,1,11,5,0,17,1485
06D2,0,16,80,12,0,108,16,308,53,0,377,2,4,3,1,10,495
06E,0,50,153,61,0,264,98,807,419,0,1324,5,8,9,0,22,1610
06F,0,41,206,54,3,304,103,1096,520,2,1721,7,18,9,0,34,2059
06G,0,12,40,13,0,65,14,215,123,0,352,1,3,5,0,9,426
06I,0,92,177,53,3,325,243,1335,540,10,2128,15,15,12,1,43,2496
06J,0,46,198,85,0,329,73,1032,785,0,1890,7,15,8,0,30,2249
06L1,0,24,96,42,0,162,27,364,232,0,623,2,6,2,0,10,795
06L2,0,29,100,30,0,159,18,247,144,1,410,3,0,6,0,9,578
06N,0,54,224,69,0,347,63,443,289,0,795,3,7,11,0,21,1163
06Q,0,7,8,5,1,21,47,210,63,4,324,1,0,1,0,2,347
06R,0,34,157,66,3,260,50,651,391,0,1092,4,6,3,0,13,1365
07A,0,334,1259,426,8,2027,312,1838,1170,14,3334,9,38,19,0,66,5427
07B,0,158,845,277,0,1280,69,602,481,1,1153,5,14,10,0,29,2462
07C,0,163,657,438,0,1258,141,924,869,0,1934,6,7,12,0,25,3217
07D,0,188,821,189,10,1208,185,1226,588,15,2014,10,21,7,0,38,3260
07E,0,46,316,138,3,503,46,613,526,4,1189,4,11,6,0,21,1713
07F,0,157,650,221,20,1048,121,1049,608,8,1786,5,24,6,0,35,2869
07H,0,87,402,132,0,621,59,556,407,0,1022,3,6,3,0,12,1655
07J,0,104,446,149,4,703,118,900,509,6,1533,8,8,11,1,28,2264
07M,0,71,294,86,0,451,109,548,379,0,1036,5,11,4,0,20,1507
07N,0,35,133,54,2,224,97,597,358,5,1057,6,4,5,0,15,1296
08A,0,149,681,236,0,1066,108,794,397,0,1299,5,9,12,0,26,2391
08B,0,131,917,247,1,1296,80,882,481,0,1443,9,23,16,0,48,2787
08C,0,55,490,146,0,691,26,281,199,0,506,0,3,2,0,5,1202
08D,0,36,372,97,12,517,8,190,157,5,360,1,2,6,0,9,886
08E,0,104,739,231,1,1075,51,566,468,0,1085,2,8,11,0,21,2181
08F1,0,102,661,190,2,955,42,523,323,2,890,2,14,5,0,21,1866
08G,0,102,435,199,0,736,100,618,541,2,1261,9,11,11,0,31,2028
08H,0,90,654,224,0,968,42,572,483,0,1097,5,6,1,0,12,2077
08J,0,125,648,177,1,951,106,1075,444,2,1627,11,26,10,0,47,2625
08K,0,54,151,42,0,247,40,330,200,0,570,5,8,6,0,19,836
08L,0,135,603,167,3,908,158,1328,802,6,2294,16,32,23,0,71,3273
08M,0,127,627,182,4,940,70,481,284,0,835,5,9,7,0,21,1796
08N1,0,25,219,73,1,318,11,194,131,2,338,3,10,2,0,15,671
08N2,0,44,271,136,0,451,49,410,294,0,753,2,6,3,0,11,1215
08P,0,39,95,47,1,182,108,607,224,2,941,4,8,4,0,16,1139
09A,0,73,423,95,3,594,148,1357,576,4,2085,11,36,16,0,63,2742
09B,0,3,2,2,0,7,27,80,68,0,175,0,2,0,0,2,184
09C,0,18,37,12,0,67,252,852,469,2,1575,7,5,7,0,19,1661
09D,0,13,17,18,0,48,213,436,290,6,945,5,3,1,0,9,1002
09E,0,26,75,20,2,123,249,928,330,3,1510,12,7,2,0,21,1654
09F,0,113,707,204,2,1026,112,1163,633,1,1909,2,22,16,0,40,2975
09G,0,115,306,113,2,536,186,1396,626,5,2213,7,28,16,1,52,2801
09H,0,16,43,16,0,75,68,390,159,0,617,4,7,3,0,14,706
09I,0,14,16,5,0,35,132,253,174,1,560,3,3,1,0,7,602
09K,0,22,53,12,0,87,251,856,478,7,1592,8,14,5,0,27,1706
09K1,0,10,19,3,0,32,102,308,40,1,451,2,2,0,0,4,487
09M,0,35,201,43,0,279,89,1147,354,0,1590,6,20,8,0,34,1903
10A,0,2,39,18,0,59,25,947,529,3,1504,2,3,8,0,13,1576
10B,0,25,44,24,2,95,215,1473,891,4,2583,5,11,3,0,19,2697
10C,0,19,18,14,0,51,121,698,319,0,1138,5,4,2,0,11,1200
10D,0,44,39,18,12,113,280,1145,554,90,2069,10,9,3,2,24,2206
10E,0,6,18,7,0,31,92,289,182,0,563,0,1,1,0,2,596
10F,0,10,16,4,1,31,121,299,203,9,632,1,6,1,0,8,671
10G,0,10,18,10,0,38,94,506,238,0,838,3,3,0,0,6,882
10H1,0,3,2,1,2,8,23,154,81,1,259,2,1,0,1,4,271
10H2,0,14,24,12,0,50,163,556,349,0,1068,3,1,2,0,6,1124
10I,0,4,6,0,0,10,13,159,92,0,264,0,0,0,0,0,274
10J,0,10,6,7,0,23,146,190,128,7,471,3,1,1,0,5,499
10K,0,13,30,4,0,47,97,556,310,4,967,5,5,3,0,13,1027
10M,0,14,31,24,0,69,232,849,429,7,1517,11,6,3,1,21,1607
10P,0,11,11,7,0,29,140,332,241,1,714,0,2,1,0,3,746
